Run,$I_Z$,$V_{nom}$,$dt$,$V_{fs}$,$Q$,$P_{atm}$,$T_{tunnel}$,$\phi$,$R_{core}$,$\overline{v_{\theta}}_{max}$,$\overline{v_{z}}_{mean}$
,$mm$,$m/s$,$\mu s$,$m/s$,$Pa$,$Pa$,K,$\%$,$mm$,$m/s$,$m/s$
,,,,,,,,,,,
61,1016,15.0,40,15.3,140,101977,296.1,52.0,16.1,3.7,15.5
62,1016,17.0,40,17.0,171,101969,296.2,52.0,14.4,4.0,17.3
63,1016,19.0,40,19.1,218,101961,296.3,52.0,16.3,4.5,19.4
64,1016,21.0,40,21.1,269,101950,296.4,49.4,15.1,5.0,21.6
65,1016,23.0,40,23.2,321,101953,296.8,52.6,14.5,5.4,23.6
66,1016,25.0,25,25.0,371,101951,297.1,52.6,14.4,6.1,25.4
67,1016,27.0,25,27.1,436,101936,297.2,52.6,14.7,6.4,27.5
68,1016,29.0,25,29.2,505,101928,297.8,52.6,16.1,6.7,29.7
69,1016,31.0,25,31.3,581,101921,297.9,52.6,16.7,7.3,31.9
70,1016,33.0,25,33.0,647,101922,298.3,52.6,15.0,7.7,33.6
